Species;Common;IUIS Allergen;Type;Group;Allergenicity;Length;Accession;GI#;1st Version
Fagus sylvatica;European Beech;Unassigned;Aero Plant;Fagus Fag s 1;IgE plus basophil+ or SPT+;160;ACJ23866.1;212291474;10
Fraxinus excelsior;European ash;Unassigned;Aero Plant;Fraxinus excelsior polcalcin;IgE but no biological test;84;AHL24661.1;589912891;15
Fraxinus excelsior;European ash;Unassigned;Aero Plant;Fraxinus excelsior profilin;IgE but no biological test;134;AHL24660.1;589912889;15
Fraxinus excelsior;European ash;Fra e 1.0201;Aero Plant;Fraxinus Fra e 1;IgE plus basophil+ or SPT+;146;AAQ83588.1;34978692;7
Fraxinus excelsior;European ash;Fra e 1.0102;Aero Plant;Fraxinus Fra e 1;IgE plus basophil+ or SPT+;145;AAV74343.1;56122438;7
Fraxinus excelsior;European ash;Fra e 1.0101;Aero Plant;Fraxinus Fra e 1;IgE plus basophil+ or SPT+;145;AAQ08947.1;33327133;7
Glycine max;Soybean;Gly m 1.0101;Aero Plant;Glycine Gly m 1;IgE but no biological test;80;P24337.1;123506;12
Helianthus annuus;Sunflower;Hel a 2.0101;Aero Plant;Helianthus Hel a 2;IgE but no biological test;133;CAA75506.1;3581965;7
Holcus lanatus;Velvet grass;Hol l 1.0101;Aero Plant;Holcus Hol l 1;IgE but no biological test;265;CAA81610.1;414703;7
Holcus lanatus;Velvet grass;Hol l 1.0102;Aero Plant;Holcus Hol l 1;IgE but no biological test;248;CAA93121.1;1167836;7
Holcus lanatus;Velvet grass;Unassigned;Aero Plant;Holcus Hol l 1;IgE but no biological test;263;CAA10140.1;3860384;7
Holcus lanatus;Velvet grass;Unassigned;Aero Plant;Holcus Hol l 5;IgE plus basophil+ or SPT+;20;Q7M262;75140046;7
Holcus lanatus;Velvet grass;Hol l 5.0201;Aero Plant;Holcus Hol l 5;IgE plus basophil+ or SPT+;240;CAB10766.1;2266623;7
Holcus lanatus;Velvet grass;Hol l 5.0101;Aero Plant;Holcus Hol l 5;IgE plus basophil+ or SPT+;264;CAB10765.1;2266625;7
Holcus lanatus;Velvet grass;Unassigned;Aero Plant;Holcus Hol l 5;IgE plus basophil+ or SPT+;296;AAG42255.1;11991229;7
Hordeum vulgare;Barley;Unassigned;Aero Plant;Hordeum Alpha-amylase inhibitor component CMb;IgE plus basophil+ or SPT+;149;P32936.2;585290;7
Hordeum vulgare;Barley;Unassigned;Aero Plant;Hordeum LTP 1;IgE but no biological test;117;AAA32970.1;167077;7
Hordeum vulgare;Barley;Unassigned;Aero Plant;Hordeum Trypsin inhibitor CMe;IgE plus basophil+ or SPT+;144;CAA35188.1;1405736;7
Hordeum vulgare subsp. vulgare;Barley;Unassigned;Aero Plant;Hordeum Alpha-amylase inhibitor BDAI-1;IgE plus basophil+ or SPT+;152;CAA08836.1;3367714;7
Hordeum vulgare subsp. vulgare;Barley;Unassigned;Aero Plant;Hordeum Alpha-amylase inhibitor component Cma;IgE plus basophil+ or SPT+;144;CAA41956.1;18955;7
Hordeum vulgare subsp. vulgare;Barley;Unassigned;Aero Plant;Hordeum Alpha-amylase inhibitor component Cma;IgE plus basophil+ or SPT+;145;CAA49555.1;439275;7
Hordeum vulgare subsp. vulgare;Barley;Unassigned;Aero Plant;Hordeum Trypsin inhibitor CMe;IgE plus basophil+ or SPT+;148;CAA46705.1;19009;7
Humulus japonicus;Japanese hop;Hum j 1.0101;Aero Plant;Humulus Humj1;IgE but no biological test;155;AAP94213.1;33113263;7
Humulus scandens;Japanese hop;Unassigned;Aero Plant;Humulus profilin-like protein;IgE but no biological test;131;AAP15200.1;34851176;7
Humulus scandens;Japanese hop;Unassigned;Aero Plant;Humulus profilin-like protein;IgE but no biological test;131;AAP15199.1;34851174;7
Juniperus ashei;Mountain cedar;Jun a 2.0101;Aero Plant;Juniperus Jun a 2;IgE but no biological test;507;CAC05582.1;9955725;7
Juniperus ashei;Mountain cedar;Jun a 3.0101;Aero Plant;Juniperus Jun a 3;IgE but no biological test;225;P81295.1;9087177;8
Juniperus ashei;Mountain cedar;Jun a 1.0101;Aero Plant;Juniperus Jun a/v 1;IgE but no biological test;367;AAD03608.1;4138877;7
Juniperus oxycedrus;Juniper;Unassigned;Aero Plant;Juniperus Jun a/v 1;IgE but no biological test;367;CAC48400.1;15139849;7
Juniperus oxycedrus;Juniper;Jun o 4.0101;Aero Plant;Juniperus Jun o 4;IgE but no biological test;165;AAC15474.2;5391446;7
Juniperus rigida;Cedar;Unassigned;Aero Plant;Juniperus Jun a 3;IgE but no biological test;225;AAR21072.1;38456224;7
Juniperus rigida;Cedar;Unassigned;Aero Plant;Juniperus Jun a 3;IgE but no biological test;225;AAR21071.1;38456222;7
Juniperus virginiana;Red cedar;Unassigned;Aero Plant;Juniperus Jun a 3;IgE but no biological test;110;Q9LD79.2;51316532;7
Juniperus virginiana;Red cedar;Jun v 1.0102;Aero Plant;Juniperus Jun a/v 1;IgE but no biological test;367;AAF80164.1;8843917;7
Juniperus virginiana;Red cedar;Jun v 1.0101;Aero Plant;Juniperus Jun a/v 1;IgE but no biological test;367;AAF80166.1;8843921;7
Ligustrum vulgare;Privet;Lig v 1.0101;Aero Plant;Ligustrum Lig v 1;IgE but no biological test;145;CAA54818.1;3256210;7
Ligustrum vulgare;Privet;Lig v 1.0102;Aero Plant;Ligustrum Lig v 1;IgE but no biological test;145;CAA54819.1;3256212;7
Lilium longiflorum;Trumpet lily;Unassigned;Aero Plant;Lilium polygalacturonase;IgE but no biological test;413;AAZ91659.1;73913442;8
Lolium perenne;Perennial ryegrass;;Aero Plant;Lolium Lol p 1;IgE plus basophil+ or SPT+;263;P14946.2;126385;7
Lolium perenne;Perennial ryegrass;Lol p 1.0102;Aero Plant;Lolium Lol p 1;IgE plus basophil+ or SPT+;252;AAA63278.1;168314;7
Lolium perenne;Perennial ryegrass;Lol p 1.0101;Aero Plant;Lolium Lol p 1;IgE plus basophil+ or SPT+;263;AAA63279.1;168316;10
Lolium perenne;Perennial ryegrass;Lol p 1.0103;Aero Plant;Lolium Lol p 1;IgE plus basophil+ or SPT+;263;CAB63699.1;6599300;10
Lolium perenne;Perennial ryegrass;Lol p 11.0101;Aero Plant;Lolium Lol p 11;IgE plus basophil+ or SPT+;134;Q7M1X5.1;47605808;7
Lolium perenne;Perennial ryegrass;Lol p 2.0101;Aero Plant;Lolium Lol p 2;IgE plus basophil+ or SPT+;97;P14947.1;126386;7
Lolium perenne;Perennial ryegrass;;Aero Plant;Lolium Lol p 2;IgE plus basophil+ or SPT+;88;CAA51775.1;939932;7
Lolium perenne;Perennial ryegrass;Lol p 3.0101;Aero Plant;Lolium Lol p 3;IgE but no biological test;97;P14948.1;126387;7
Lolium perenne;Perennial ryegrass;Lol p 4.0101;Aero Plant;Lolium Lol p 4;IgE plus basophil+ or SPT+;423;CAH92637.1;55859464;7
Lolium perenne;Perennial ryegrass;;Aero Plant;Lolium Lol p 5;IgE plus basophil+ or SPT+;301;AAD20386.1;4416516;7
Lolium perenne;Perennial ryegrass;;Aero Plant;Lolium Lol p 5;IgE plus basophil+ or SPT+;301;CAB64344.1;6634467;7
Lolium perenne;Perennial ryegrass;Lol p 5.0101;Aero Plant;Lolium Lol p 5;IgE plus basophil+ or SPT+;339;AAA33405.1;455288;10
Lolium perenne;Perennial ryegrass;Lol p 5.0102;Aero Plant;Lolium Lol p 5;IgE plus basophil+ or SPT+;307;Q40240.2;332278195;12
Mercurialis annua;Annual mercury grass;Mer a 1.0101;Aero Plant;Mercurialis Mer a 1;IgE but no biological test;133;CAA73720.1;2959898;7
Nicotiana tabacum;Tobacco;Unassigned;Aero Plant;Nicotiana villin;IgE but no biological test;520;CAE17317.1;57283139;7
Nicotiana tabacum;Tobacco;Unassigned;Aero Plant;Nicotiana villin;IgE but no biological test;559;CAE17316.1;57283137;7
Olea europaea;Olive tree;Ole e 13.0101;Aero Plant;Olea e 13 in WHO IUIS;IgE but no biological test;226;E3SU11.1;449061783;14
Olea europaea;Olive tree;Ole e 1.0102;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;145;P19963.2;14424429;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;137;I53806;1362128;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;136;E53806;1362129;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;136;F53806;1362130;7
Olea europaea;Olive tree;Ole e 1.0104;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;145;C53806;1362131;7
Olea europaea;Olive tree;;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;137;A38968;1362132;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;136;G53806;1362133;7
Olea europaea;Olive tree;Ole e 1.0103;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;145;B53806;1362136;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;136;H53806;1362137;7
Olea europaea;Olive tree;Ole e 1.0105;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;146;CAA73038.1;2465127;7
Olea europaea;Olive tree;Ole e 1.0106;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;146;CAA73037.1;2465129;7
Olea europaea;Olive tree;Ole e 1.0107;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;146;CAA73036.1;2465131;7
Olea europaea;Olive tree;Ole e 1.0101;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;130;AAB32652.2;13195753;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;134;AAO22133.1;37724597;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;135;AAO22132.1;37724593;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;132;AAN18044.1;37548753;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;131;AAQ10281.1;33329758;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;132;AAQ10280.1;33329756;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;132;AAQ10279.1;33329754;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;131;AAQ10278.1;33329752;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;131;AAQ10277.1;33329750;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;129;AAQ10276.1;33329748;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;131;AAQ10274.1;33329744;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;132;AAQ10271.1;33329738;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;132;AAQ10268.1;33329732;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;132;AAQ08190.1;33325115;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;140;ABP58632.1;145313982;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;140;ABP58633.1;145313984;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;140;ABP58635.1;145313988;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;140;ABP58636.1;145313990;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 1;IgE plus basophil+ or SPT+;140;ABP58637.1;145313992;9
Olea europaea;Olive tree;Ole e 10.0101;Aero Plant;Olea Ole e 10;IgE plus basophil+ or SPT+;123;AAL92578.1;29465664;7
Olea europaea;Olive tree;;Aero Plant;Olea Ole e 11.0101 and 0102;IgE but no biological test;364;AAY88919.1;68270856;11
Olea europaea;Olive tree;Ole e 11.0101;Aero Plant;Olea Ole e 11.0101 and 0102;IgE but no biological test;364;ACZ57582.1;269996495;11
Olea europaea;Olive tree;Ole e 12.0101;Aero Plant;olea Ole e 12 in WHO IUIS;IgE but no biological test;308;E1U332.1;449061782;14
Olea europaea;Olive tree;;Aero Plant;Olea Ole e 2;IgE but no biological test;134;O24170.1;3914427;7
Olea europaea;Olive tree;;Aero Plant;Olea Ole e 2;IgE but no biological test;134;O24171.1;3914428;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 2;IgE but no biological test;131;A4GFC0.1;576017874;15
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 2;IgE but no biological test;131;A4GFC3.1;576017774;15
Olea europaea;Olive tree;Ole e 2.0101;Aero Plant;Olea Ole e 2;IgE but no biological test;134;CAA73035.1;2465133;15
Olea europaea;Olive tree;Ole e 3.0101;Aero Plant;Olea Ole e 3;IgE plus basophil+ or SPT+;84;AAD05375.1;3337403;7
Olea europaea;Olive tree;;Aero Plant;Olea Ole e 3;IgE plus basophil+ or SPT+;52;AAO33897.1;37725377;7
Olea europaea;Olive tree;Ole e 5.0101;Aero Plant;Olea Ole e 5;IgE but no biological test;30;P80740.2;122064581;8
Olea europaea;Olive tree;;Aero Plant;Olea Ole e 5;IgE but no biological test;152;CAD21706.2;39840779;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABP58627.1;145313972;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX26131.1;160347106;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;144;ABX26132.1;160347108;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX26134.1;160347112;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX26138.1;160347120;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX26139.1;160347122;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX26140.1;160347124;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX26141.1;160347126;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX26143.1;160347130;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX26145.1;160347134;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX26147.1;160347138;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX54842.1;160962543;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX54844.1;160962547;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX54849.1;160962557;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX54855.1;160962569;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX54859.1;160962577;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX54862.1;160962583;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;144;ABX54864.1;160962587;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX54866.1;160962591;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX54869.1;160962597;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX54876.1;160962611;9
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 5;IgE but no biological test;152;ABX54877.1;160962613;9
Olea europaea;Olive tree;Ole e 6.0101;Aero Plant;Olea Ole e 6;IgE but no biological test;50;AAB66909.1;2276458;11
Olea europaea;Olive tree;Ole e 7.0101;Aero Plant;Olea Ole e 7;IgE but no biological test;21;P81430.2;22002032;7
Olea europaea;Olive tree;;Aero Plant;Olea Ole e 8;IgE but no biological test;171;AAF31152.1;6901654;7
Olea europaea;Olive tree;Ole e 8.0101;Aero Plant;Olea Ole e 8;IgE but no biological test;171;AAF31151.1;6901652;11
Olea europaea;Olive tree;Ole e 9.0101;Aero Plant;Olea Ole e 9;IgE plus basophil+ or SPT+;460;AAK58515.1;14279169;7
Olea europaea;Olive tree;Unassigned;Aero Plant;Olea Ole e 9;IgE plus basophil+ or SPT+;101;2JON_A;166235350;9
Oryza sativa;Rice;Ory s 1.0101;Aero Plant;Oryza Ory s 1;IgE but no biological test;263;AAA86533.1;1173557;8
Oryza sativa;Rice;Unassigned;Aero Plant;Oryza Ory s 1;IgE but no biological test;267;AAF72991.1;8118439;7
Oryza sativa (japonica cultivar-group);Rice;;Aero Plant;Oryza Ory s 1;IgE but no biological test;267;Q40638.2;109913547;8
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Aero Plant;Oryza putative polcalcin Phl p 7;IgE but no biological test;82;BAD13150.1;45736119;7
Ostrya carpinifolia;European hop hornbeam;Ost c 1.0101;Aero Plant;Ostrya Ost c 1pollen allergen;IgE plus basophil+ or SPT+;160;ADK39021.1;300872535;12
Parietaria judaica;Weed;;Aero Plant;Parietaria Par j 1;IgE plus basophil+ or SPT+;143;2008179A;741844;7
Parietaria judaica;Weed;Par j 1.0102;Aero Plant;Parietaria Par j 1;IgE plus basophil+ or SPT+;176;CAA65123.1;1532058;7
Parietaria judaica;Weed;Par j 1.0101;Aero Plant;Parietaria Par j 1;IgE plus basophil+ or SPT+;133;CAA54587.1;992612;15
Parietaria judaica;Weed;Par j 1.0103;Aero Plant;Parietaria Par j 1;IgE plus basophil+ or SPT+;139;CAI94601.1;95007033;15
Parietaria judaica;Weed;;Aero Plant;Parietaria Par j 1;IgE plus basophil+ or SPT+;138;CAA59370.1;706811;15
Parietaria judaica;Weed;Par j 2.0102;Aero Plant;Parietaria Par j 2;IgE plus basophil+ or SPT+;133;CAA65122.1;1532056;7
Parietaria judaica;Weed;Par j 2.0101;Aero Plant;Parietaria Par j 2;IgE plus basophil+ or SPT+;133;P55958.1;2497750;7
Parietaria judaica;Weed;Par j 3.0102;Aero Plant;Parietaria Par j 3 profilin;IgE plus basophil+ or SPT+;131;Q9T0M8.1;14423869;7
Parietaria judaica;Weed;Par j 3.0101;Aero Plant;Parietaria Par j 3 profilin;IgE plus basophil+ or SPT+;132;Q9XG85.1;14423876;7
Parietaria judaica;Weed;Par j 3.0201;Aero Plant;Parietaria Par j 3 profilin;IgE plus basophil+ or SPT+;131;CCP19647.1;444175753;14
Parietaria judaica;Weed;Par j 4.0101;Aero Plant;Parietaria Par j 4;IgE plus basophil+ or SPT+;84;CAP05019.1;201071363;15
Parietaria officinalis;Weed;Par o 1.0101;Aero Plant;Parietaria Par o 1;IgE but no biological test;12;Q7M1E8;75139847;7
Parietaria officinalis;Weed;;Aero Plant;Parietaria Par o 1;IgE but no biological test;17;AAB36008.1;1311509;7
Parietaria officinalis;Weed;;Aero Plant;Parietaria Par o 1;IgE but no biological test;15;AAB36009.1;1311510;7
Parietaria officinalis;Weed;;Aero Plant;Parietaria Par o 1;IgE but no biological test;15;AAB36010.1;1311511;7
Parietaria officinalis;Weed;;Aero Plant;Parietaria Par o 1;IgE but no biological test;15;AAB36011.1;1311512;7
Parietaria officinalis;Weed;;Aero Plant;Parietaria Par o 1;IgE but no biological test;30;AAB36012.1;1311513;7
Parietaria officinalis;Weed;;Aero Plant;Parietaria Par o 1;IgE but no biological test;24;AAB46820.1;1836011;7
Parietaria officinalis;Weed;Unassigned;Aero Plant;Parietaria Par o 1;IgE but no biological test;25;AAB46819.1;1836010;7
Parthenium hysterophorus;;Par h 1.0101;Aero Plant;Parthenium hysterophorus Par h 1;IgE but no biological test;156;AKF12278.1;817033923;17
Paspalum notatum;Bahia grass;Unassigned;Aero Plant;Paspalum group 13 pollen allergen;IgE plus basophil+ or SPT+;169;CBM42667.1;338930686;12
Paspalum notatum;Bahia grass;Unassigned;Aero Plant;Paspalum group 13 pollen allergen;IgE plus basophil+ or SPT+;169;CBM42666.1;338930684;12
Paspalum notatum;Bahia grass;Unassigned;Aero Plant;Paspalum group 13 pollen allergen;IgE plus basophil+ or SPT+;169;CBM42665.1;338930682;12
Paspalum notatum;Bahia grass;Unassigned;Aero Plant;Paspalum group 13 pollen allergen;IgE plus basophil+ or SPT+;169;CBM42664.1;338930680;12
Paspalum notatum;Bahia grass;Unassigned;Aero Plant;Paspalum group 13 pollen allergen;IgE plus basophil+ or SPT+;393;CBM42663.1;338930678;12
Paspalum notatum;Bahia grass;Unassigned;Aero Plant;Paspalum group 13 pollen allergen;IgE plus basophil+ or SPT+;393;CBM42662.1;338930676;12
Paspalum notatum;Bahia grass;Unassigned;Aero Plant;Paspalum group 13 pollen allergen;IgE plus basophil+ or SPT+;391;CBM42661.1;338930674;12
Paspalum notatum;Bahia grass;Unassigned;Aero Plant;Paspalum group 13 pollen allergen;IgE plus basophil+ or SPT+;395;CBM42660.1;338930672;12
Paspalum notatum;Bahia grass;Pas n 1.0101;Aero Plant;Paspalum Pas n 1 beta expansin;IgE plus basophil+ or SPT+;265;ACA23876.1;168419914;10
Phalaris aquatica;Canary grass;Unassigned;Aero Plant;Phalaris Pha a 1;IgE but no biological test;20;AAB27445.1;409328;7
Phalaris aquatica;Canary grass;Pha a 1.0101;Aero Plant;Phalaris Pha a 1;IgE but no biological test;269;Q41260.1;2498576;7
Phalaris aquatica;Canary grass;Pha a 5.0101;Aero Plant;Phalaris Pha a 5;IgE but no biological test;320;P56164.1;2498577;7
Phalaris aquatica;Canary grass;Unassigned;Aero Plant;Phalaris Pha a 5;IgE but no biological test;305;P56165.1;2498578;7
Phalaris aquatica;Canary grass;Unassigned;Aero Plant;Phalaris Pha a 5;IgE but no biological test;294;P56166.1;2498579;7
Phalaris aquatica;Canary grass;Unassigned;Aero Plant;Phalaris Pha a 5;IgE but no biological test;175;P56167.1;2498580;7
Phleum pratense;Common timothy;Phl p 1.0102;Aero Plant;Phleum Phl p 1;IgE plus basophil+ or SPT+;263;CAA55390.1;473360;7
Phleum pratense;Common timothy;Phl p 1.0101;Aero Plant;Phleum Phl p 1;IgE plus basophil+ or SPT+;263;CAA81613.1;3901094;7
